Perceptron Bipolarny;
0.05;55.9275;38.1316;44.2739;32.3824;22.4099;19.83;16.0196;10.5604;10.3931;4.8276;5.3539;4.1979;=ŒREDNIA(B71:M71);
0.04;85.79;77.41;70.8459;47.4675;40.0899;27.1075;19.8931;15.7939;7.4264;7.42;5.2984;4.8404;=ŒREDNIA(B72:M72);
0.03;150.872;125.182;79.9459;84.1691;53.1971;40.8624;29.4291;22.3776;11.7091;9.77;5.8716;4.4564;=ŒREDNIA(B73:M73);
0.02;339.658;283.668;198.07;152.086;119.322;90.7051;54.3624;33.4819;17.5204;10.4531;7.4816;6.3419;=ŒREDNIA(B74:M74);
0.01;1178.2;1096.27;809.687;576.944;421.67;306.924;219.693;104.78;58.1164;19.7096;10.5884;7.5939;=ŒREDNIA(B75:M75);
Srednia:;=ŒREDNIA(B60:B75);=ŒREDNIA(C60:C75);=ŒREDNIA(D60:D75);=ŒREDNIA(E60:E75);=ŒREDNIA(F60:F75);=ŒREDNIA(G60:G75);=ŒREDNIA(H60:H75);=ŒREDNIA(I60:I75);=ŒREDNIA(J60:J75);=ŒREDNIA(K60:K75);=ŒREDNIA(L60:L75);=ŒREDNIA(M60:M75);=ŒREDNIA(N60:N75);
Perceptron Adaline Bipolarny;
ucz/max;1;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.1;0.05;0.01;Œrednia:;
0.9;10.2;11.98;13.38;12.82;12.04;12.41;11.66;15.05;12.34;9.34;10.59;12.49;=ŒREDNIA(B79:M79);
0.8;14.25;11.36;12.22;13.18;12.67;14.52;13.65;12.15;12.92;14.37;13.49;12.89;=ŒREDNIA(B80:M80);
0.7;17.04;16.63;15.99;17.89;16.41;18.67;16.78;18.29;17.52;18.51;16.93;16.57;=ŒREDNIA(B81:M81);
0.6;19.75;22.17;18.82;19.47;21.82;20.18;16.84;16.14;21.26;19.74;22.45;21.24;=ŒREDNIA(B82:M82);
0.5;19.8;19.63;16.71;19.89;17.09;21.78;18.55;19.09;14.18;16.68;15.37;14.83;=ŒREDNIA(B83:M83);
0.4;16.83;18.14;13.19;19.85;19.76;16.84;19.34;18.77;16.33;13.1;17.96;16.25;=ŒREDNIA(B84:M84);
0.3;7.65;9.18;9.16;7.38;7.38;8.05;6.74;9.04;7.62;7.75;8.71;8.57;=ŒREDNIA(B85:M85);
0.25;6.99;5.62;6.16;5.11;5.84;4.11;4.27;4.74;4.6;4.64;3.49;4.11;=ŒREDNIA(B86:M86);
0.2;2.4;2.24;2.14;2.21;1.85;2.36;2.06;2.63;2.58;2.48;2.21;2.52;=ŒREDNIA(B87:M87);
0.15;1.17;1.19;1.19;1.24;1.25;1.15;1.16;1.23;1.22;1.21;1.28;1.23;=ŒREDNIA(B88:M88);
0.1;1.42;1.37;1.36;1.16;1.12;1.13;1.02;1.01;1;1;1;1;=ŒREDNIA(B89:M89);
0.05;2.75;2.58;2.33;2.28;2.01;1.99;1.73;1.52;1.19;1;1;1;=ŒREDNIA(B90:M90);
0.04;3.29;3.2;3.01;2.83;2.4;2.31;2.01;1.69;1.4;1.02;1;1;=ŒREDNIA(B91:M91);
0.03;4.63;4.29;3.89;3.82;3.42;2.98;2.67;2.25;1.91;1.22;1;1;=ŒREDNIA(B92:M92);
0.02;6.49;6.31;5.69;5.31;4.89;4.3;3.9;3.33;2.33;1.62;1.12;1;=ŒREDNIA(B93:M93);
0.01;12.9;12.01;11;10.76;9.77;8.39;7.56;5.94;4.09;2.74;1.78;1;=ŒREDNIA(B94:M94);
Srednia:;=ŒREDNIA(B79:B94);=ŒREDNIA(C79:C94);=ŒREDNIA(D79:D94);=ŒREDNIA(E79:E94);=ŒREDNIA(F79:F94);=ŒREDNIA(G79:G94);=ŒREDNIA(H79:H94);=ŒREDNIA(I79:I94);=ŒREDNIA(J79:J94);=ŒREDNIA(K79:K94);=ŒREDNIA(L79:L94);=ŒREDNIA(M79:M94);=ŒREDNIA(N79:N94);
Perceptron Adaline Bipolarny wariancja;
ucz/max;1;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.1;0.05;0.01;Œrednia:;
0.9;89.96;119.74;138.636;164.388;95.9784;105.862;101.004;169.808;107.164;68.1844;65.3419;137.41;=ŒREDNIA(B98:M98);
0.8;129.948;90.6104;140.872;169.428;143.921;167.13;113.028;106.608;142.154;154.153;136.01;99.5179;=ŒREDNIA(B99:M99);
0.7;255.238;280.333;259.13;214.478;246.862;354.601;270.412;347.966;324.71;273.13;213.865;243.605;=ŒREDNIA(B100:M100);
0.6;344.148;624.941;432.848;323.249;458.908;422.508;353.554;236.56;618.812;309.152;476.368;409.562;=ŒREDNIA(B101:M101);
